,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
22,"Chesterfield, VA",224851,6757,17114,11840,288696,1138,633,12677,346375,22151,4464,347513,76522,42128,16689,77847,1469,22784,23034,26071,24602,179033,1970
23,"Clarke, VA",21672,641,936,1052,23219,2530,1208,1167,29603,3923,3952,32133,2714,6532,2382,8130,929,5131,1462,4333,3404,15079,1970
24,"Craig, VA",3135,115,199,150,6891,254,210,190,9257,590,2706,9511,3946,1425,1195,3515,311,800,274,827,516,2061,1970
25,"Culpeper, VA",39644,1313,2221,2130,44379,1956,657,2378,58219,6179,3290,60175,7113,10650,5146,18289,1698,6836,3286,8109,6411,29522,1970
26,"Cumberland, VA",6289,187,185,192,12089,1393,991,283,14233,2254,2531,15626,6083,1699,1838,6175,644,3245,281,1516,872,2763,1970
27,"Dickenson, VA",36098,1157,3537,1894,32469,190,141,2104,42337,8168,2632,42527,-1525,2823,7235,16159,628,8309,4484,4278,3650,23305,1970
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",176219,5897,12133,10684,185260,2610,1995,11239,241697,17092,3020,244307,20280,37149,21898,80894,3928,19087,17475,31034,27106,139657,1970
29,"Essex, VA",15345,521,898,868,13321,332,70,955,18709,2507,2678,19041,-1069,3568,2152,7109,708,2577,1332,3384,2676,11436,1970
30,"Fairfax, Fairfax City + Falls Church, VA*",1273674,33289,118457,67542,2466519,1371,818,67060,3047428,101769,6222,3048799,1259905,513263,69017,489999,16818,102587,152228,148818,132000,1018859,1970
31,"Fauquier, VA",65936,1775,5710,3220,75471,5480,3111,3385,107211,10383,4255,112691,12920,30801,6419,26483,2393,13494,7320,12200,9807,45122,1970
32,"Floyd, VA",10912,392,423,484,20709,1068,861,634,25895,3356,2761,26963,10431,3153,3101,9766,1241,4217,665,2783,1542,6030,1970
33,"Fluvanna, VA",10471,351,512,448,16365,988,681,575,20758,2684,2829,21746,6469,3257,2124,7686,489,3365,736,2134,1645,6370,1970
34,"Franklin, VA",44722,1512,2049,2588,63495,2795,1742,2806,77206,6938,2828,80001,21579,9235,7271,28291,2867,8680,3343,9775,6908,32699,1970
35,"Frederick + Winchester, VA*",129061,4441,6648,7944,120232,1767,-171,8413,151262,15203,3489,153029,-416,20596,12201,43866,3159,15032,10620,22982,19823,103409,1970
36,"Giles, VA",40976,1435,2795,2516,37870,299,156,2693,48256,3714,2906,48555,-413,4960,5725,16710,805,3870,4053,6334,5529,33053,1970
37,"Gloucester, VA",17504,633,870,752,40184,125,-2,1009,55203,5363,3916,55328,23689,10900,4244,14127,1031,5361,1246,3491,2460,10897,1970
38,"Goochland, VA",13010,424,545,552,24409,963,617,700,30899,3661,3173,31862,12099,5032,2421,10041,639,4278,821,2438,1799,7911,1970
39,"Grayson, VA",20981,722,894,1260,27474,2122,1718,1352,33662,2776,2298,35784,7845,3371,4939,15569,1435,4494,1524,5241,3806,14963,1970
40,"Greene, VA",4721,169,178,154,9926,250,162,246,12853,1954,2476,13103,5451,1840,1337,5291,360,2116,255,928,568,2350,1970
41,"Greensville + Emporia, VA*",33831,1129,1762,2096,30548,1260,865,2177,38893,3849,2698,40153,-1106,4656,4949,14883,1215,4714,2810,6928,5713,26307,1970
42,"Halifax, VA",74852,2317,3253,4192,79509,10179,8622,4413,90973,8226,2738,101152,9070,11486,10157,36941,5373,16848,5349,16370,10997,52655,1970
43,"Hampton (Independent City), VA",405899,8854,57852,22240,383021,0,0,19974,492790,13381,4085,492790,-2904,83903,25866,120636,3157,13381,68972,50298,47141,323546,1970
