,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
22,"Chesterfield, VA",3349415,191150,389585,346178,4781145,2946,1716,364239,6264492,230421,26075,6267438,1795969,1082659,403634,240360,14652,232137,562674,112382,97730,2554604,1995
23,"Clarke, VA",125257,7792,11999,11522,162843,3844,1552,13553,257787,16927,21370,261631,51139,71023,27765,12243,1755,18479,17760,5811,4056,89018,1995
24,"Craig, VA",18183,1353,2226,1716,59170,450,235,2211,85742,3083,17819,86192,43198,14283,12739,4837,533,3318,3084,1199,666,11781,1995
25,"Culpeper, VA",383825,23537,43504,37196,431751,2855,-205,42135,653688,44240,20898,656543,90061,143589,81203,31416,3454,44035,62102,15431,11977,277688,1995
26,"Cumberland, VA",41466,2354,3688,2712,91947,8977,7687,3710,131211,8837,16779,140188,54191,23977,24264,8355,796,16524,5044,2062,1266,19898,1995
27,"Dickenson, VA",107811,7767,13786,10946,121726,307,269,13240,245179,15871,14076,245486,27155,38300,85460,17440,955,16140,19259,4564,3609,72412,1995
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",922662,57788,119635,94598,966503,5772,4019,105087,1622099,59608,21299,1627871,148928,318630,342738,76431,4749,63627,166934,38511,33762,692101,1995
29,"Essex, VA",103067,6668,11964,10038,100362,788,96,11687,180085,11287,18796,180873,8982,43277,37234,9623,917,11383,16983,5150,4233,74701,1995
30,"Fairfax, Fairfax City + Falls Church, VA*",23294647,1316467,2152719,2513326,25716536,1462,498,2573130,35389638,2028945,38391,35391100,4995019,8291984,1382580,921869,94588,2029443,3409382,593212,498624,17855822,1995
31,"Fauquier, VA",550275,32799,58010,50880,964826,5997,623,58239,1537147,88630,30607,1543144,472790,475714,102604,50418,6662,89253,83450,23105,16443,377572,1995
32,"Floyd, VA",70585,4895,6956,5720,126689,5169,2745,7755,199422,16336,15882,204591,63859,39562,38340,12882,2059,19081,9816,4614,2555,41688,1995
33,"Fluvanna, VA",84619,6054,9340,7532,216886,579,332,9820,337494,15721,21438,338073,142087,75239,45948,15770,1640,16053,13106,4401,2761,55460,1995
34,"Franklin, VA",336076,21386,37534,32836,552571,10535,6746,37804,804300,30034,18721,814835,254299,143993,118271,43525,3421,36780,53952,16161,12740,245344,1995
35,"Frederick + Winchester, VA*",1324353,79594,145920,133164,1126256,9221,4684,146176,1627994,116520,21517,1637215,-51921,331400,179559,76090,7741,121204,212502,49441,41700,990647,1995
36,"Giles, VA",207961,13165,26789,20512,190271,2023,1882,23421,295955,17601,18134,297978,5731,45971,61736,16432,1491,19483,37045,7462,5971,151433,1995
37,"Gloucester, VA",223329,14518,27979,20694,443917,951,569,24865,676794,31684,20727,677745,245453,155287,78541,32698,2915,32253,38326,11706,8791,152750,1995
38,"Goochland, VA",159475,9854,17640,14980,329354,544,-25,17344,497250,25492,31204,497794,187223,132174,36266,15953,1890,25467,25130,6713,4823,108878,1995
39,"Grayson, VA",92841,6645,10627,7924,162153,3255,2254,10607,259288,18981,15403,262543,79919,46243,54147,17045,2388,21235,14589,5535,3147,57017,1995
40,"Greene, VA",75208,5010,8768,6664,172082,544,230,8342,233742,14666,18385,234286,105216,34404,27800,12743,1328,14896,12100,3825,2497,48212,1995
41,"Greensville + Emporia, VA*",228894,13913,29800,23378,159706,7605,6494,25602,256955,7986,15570,264560,-43586,47238,57616,16992,807,14480,41489,9542,8735,172925,1995
42,"Halifax, VA",399010,25109,46181,40066,381829,13559,9431,45142,605354,32035,16442,618913,27961,106907,130177,37643,3475,41466,66214,18133,14658,291330,1995
43,"Hampton (Independent City), VA",2332627,121886,329757,259070,1924189,0,0,251421,2948746,71008,20559,2948746,-157017,652705,371852,143427,6975,71008,459292,76238,69263,1802327,1995
44,"Hanover, VA",1139241,68447,117073,113804,1391790,7224,4350,125349,1864486,116263,25142,1871710,377898,315437,164483,74446,7170,120613,173975,42506,35336,844653,1995
45,"Henrico, VA",5038644,295773,512212,544066,4637600,4040,3086,567806,6731877,200741,27588,6735917,166762,1515364,582953,244162,16503,203827,784245,161304,144801,4050572,1995
46,"Henry + Martinsville, VA*",1090461,67403,126536,116462,876634,3205,2696,125634,1404468,71476,19017,1407673,-88193,279145,251894,74023,5223,74172,184767,45769,40546,831522,1995
47,"Highland, VA",20351,1308,1908,1314,25375,2628,2265,1965,47886,5647,19686,50514,6989,16289,8850,2566,689,7912,2565,1337,648,9874,1995
48,"Isle of Wight, VA",437336,25727,48595,42680,419873,8076,5370,47067,585557,28342,21498,593633,29604,96914,76846,27614,2020,33712,69935,14100,12080,333689,1995
49,"James City + Williamsburg, VA*",1015501,60001,113385,108194,833943,668,435,114098,1381576,70009,25943,1382244,-67460,405040,143261,53281,4761,70444,167482,41990,37229,777575,1995
50,"King George, VA",406859,19217,59706,43960,239502,908,508,41197,356404,15387,22704,357312,-126160,89273,28537,15738,1363,15895,81686,10427,9064,309278,1995
51,"King William, VA",159634,9737,16543,16294,197880,3036,2187,17884,279361,8659,23262,282397,56130,51528,32989,12140,1036,10846,24690,5326,4290,124098,1995
52,"King and Queen, VA",36082,2561,4319,2940,80398,2788,2223,4031,118036,6943,18698,120824,48347,21025,19401,6462,580,9166,5789,1695,1115,21127,1995
53,"Lancaster, VA",114895,8326,12252,11222,100280,544,361,13937,288742,11563,25490,289286,-678,132125,56881,11349,1425,11924,17863,5916,4491,85108,1995
54,"Lee, VA",151555,10800,21100,15424,187228,2447,1710,18512,355658,12971,14730,358105,54185,53233,117644,24312,2581,14681,28812,8464,5883,108062,1995
55,"Loudoun, VA",2127558,119757,227467,216608,2809118,5639,1859,228061,3664602,141161,31403,3670241,909621,709094,152029,116877,12153,143020,335771,67650,55497,1648767,1995
56,"Louisa, VA",235500,15061,25082,20924,318021,511,-11,25523,457375,45176,20034,457886,108044,72196,67669,22855,4206,45165,35544,10001,5795,154791,1995
57,"Lunenburg, VA",73862,4873,9477,6556,103660,5360,3815,8151,178278,9155,15449,183638,37949,36644,43334,11887,1043,12970,12755,4125,3082,48137,1995
58,"Madison, VA",76104,5109,7867,6636,128155,1967,507,8427,212447,15317,17601,214414,60478,52505,33754,12182,1632,15824,11185,4547,2915,49095,1995
59,"Mathews, VA",42454,3470,4421,3380,113691,1198,403,5160,208694,10762,23862,209892,76397,61187,35014,8796,944,11165,6111,2500,1556,25178,1995
60,"Mecklenburg, VA",379661,23571,44429,38662,333102,12933,7804,42902,543238,27035,17775,556171,-3657,108748,114321,31289,2735,34839,63760,18229,15494,281062,1995
61,"Middlesex, VA",71035,5056,8835,6270,102802,1539,954,8191,200279,11140,21657,201818,39958,61382,37634,9319,1017,12094,11970,3841,2824,46971,1995
62,"Montgomery + Radford, VA*",1256403,72691,179162,126938,1026401,2408,1198,136160,1547911,77389,16389,1550319,-93842,331171,192747,94593,6762,78587,242631,50071,43309,935185,1995
63,"Nelson, VA",86286,6230,8852,7716,159926,1735,737,10088,262525,15768,19787,264260,83728,57947,46387,13355,1616,16505,12710,4994,3378,57071,1995
64,"New Kent, VA",70471,4811,7525,6312,192843,347,102,7967,265280,13079,22499,265627,130339,44304,28480,11806,1164,13181,10681,3440,2276,46609,1995
65,"Newport News (Independent City), VA",3448044,186864,501927,415592,2333652,0,0,394660,3555217,123035,19810,3555217,-719732,746992,474573,179469,9316,123035,709723,109261,99945,2615286,1995
66,"Norfolk (Independent City), VA",7971357,401828,1137152,914802,2824416,0,0,859229,4959038,187377,20272,4959038,-4287712,1399547,735075,244623,10955,187377,1594553,239388,228433,6189427,1995
67,"Northampton, VA",121066,7395,13974,10796,110159,14678,10231,12793,204534,11499,16680,219212,1886,54390,54663,13142,1195,21730,19372,5832,4637,79964,1995
68,"Northumberland, VA",83334,6073,8435,6568,105782,2454,2034,9357,226414,20951,20011,228868,31805,73643,49443,11437,1282,22985,11719,3806,2524,48630,1995
69,"Nottoway, VA",168258,10435,23742,18674,146737,5632,4440,19772,260990,11725,17228,266622,-1749,54605,65280,15476,1307,16165,33079,7510,6203,119014,1995
70,"Orange, VA",222189,14657,24973,21628,282399,4945,2445,25471,484465,26733,20586,489410,85681,126051,80960,23774,2564,29178,35787,10349,7785,157224,1995
71,"Page, VA",199202,12119,20877,18016,248150,18306,17081,21127,371000,23891,17199,389306,70075,71348,69808,22636,2223,40972,29885,9387,7164,128345,1995
72,"Patrick, VA",153635,9978,17402,14972,200115,3783,2385,17464,301431,18166,16623,305214,63944,46534,58565,18361,1943,20551,24888,7851,5908,108196,1995
73,"Pittsylvania + Danville, VA*",1358678,85177,157855,141712,1288610,20115,14198,156033,1987062,91106,18116,2007177,85965,348234,370333,110797,8017,105304,228711,54831,46814,1024663,1995
74,"Portsmouth (Independent City), VA",1664440,86243,254251,179150,1128811,0,0,175818,1892117,41641,18351,1892117,-359811,403012,360294,103105,4183,41641,343826,51818,47635,1278973,1995
75,"Powhatan, VA",137307,8517,17340,12318,297068,1402,762,14676,388321,22305,20812,389723,174437,58206,34449,18726,4245,23067,23499,8377,4132,90741,1995
76,"Prince Edward, VA",222437,13842,27341,22362,161044,3620,2766,25023,271871,17605,14576,275491,-36370,55959,58488,18900,1408,20371,38522,10690,9282,163544,1995
77,"Prince George + Hopewell, VA*",962154,50730,138271,103296,725519,1283,771,102378,1076125,37990,20420,1077408,-134257,219922,131967,52762,2328,38761,189919,28039,25711,733474,1995
78,"Prince William, Manassas + Manassas Park, VA*",3207936,179524,366170,336398,5494479,1135,134,347723,7159140,261556,25198,7160275,2634266,1309059,356737,284163,21530,261690,534369,117660,96130,2411877,1995
79,"Pulaski, VA",448929,27686,56192,44470,396712,1118,86,49921,608910,28907,17696,610028,-2296,91563,121753,34473,2318,28993,78427,18500,16182,341509,1995
80,"Rappahannock, VA",47514,3307,3934,3478,83619,1369,817,5046,148625,14887,22248,149994,41151,47615,18760,6742,1393,15704,5673,2929,1536,26137,1995
81,"Richmond (Independent City), VA",7379407,418867,951012,774630,3037293,0,0,806182,5217453,388957,26427,5217453,-3535932,1291383,888777,197430,15089,388957,1338327,199431,184342,5652123,1995
82,"Richmond, VA",86536,5453,10914,8450,72266,2553,1565,9678,130545,6982,15649,133098,-4592,32134,28698,8505,662,8547,15139,3715,3053,62850,1995
83,"Roanoke (Independent City), VA",2473126,151630,276121,297172,1187876,0,0,300216,1947657,96706,19955,1947657,-985034,337323,422458,97604,5851,96706,424707,86325,80474,1951713,1995
84,"Roanoke + Salem, VA*",1985724,116143,220343,207252,1960928,2350,1407,219769,2878882,189562,26898,2881232,194973,643091,277213,107117,9554,190969,323969,67181,57627,1470786,1995
85,"Rockbridge, Buena Vista + Lexington, VA*",360025,22954,41239,36918,337408,1861,809,41413,577987,31932,17647,579848,18796,142417,100023,32859,2918,32741,59698,16132,13214,267586,1995
86,"Rockingham + Harrisonburg, VA*",1597873,90536,180453,154982,1323383,84165,70558,168027,1823882,121332,19078,1908047,-106463,357725,226939,100011,10140,191890,257944,62815,52675,1148039,1995
87,"Russell, VA",241817,15891,30041,26070,259288,1990,1049,28926,446474,21988,15049,448464,46397,61583,127593,29801,2957,23037,43076,11598,8641,175704,1995
88,"Scott, VA",124204,9341,15571,11942,209535,2713,2043,15312,355061,11090,15211,357774,100643,54688,93551,23521,2892,13133,21542,7901,5009,89529,1995
89,"Shenandoah, VA",407039,24632,45598,37648,420056,20787,17713,43456,620765,43603,19394,641552,56473,128639,92857,33080,4061,61316,64422,18448,14387,281301,1995
90,"Smyth, VA",429478,26704,56439,43168,359466,1822,727,48288,562272,33565,16931,564094,-21724,87926,116702,33317,3157,34292,78023,18801,15644,317163,1995
91,"Southampton + Franklin, VA*",249325,14888,29123,22774,329567,22856,19380,26275,495696,18810,19746,518552,106517,94856,94129,26261,1664,38190,40510,10411,8747,170625,1995
92,"Spotsylvania + Fredericksburg, VA*",1132020,67529,120919,113672,1492552,814,241,124365,2105949,116798,22287,2106763,484897,413616,200595,94529,8247,117039,177755,47216,38969,837226,1995
93,"Stafford, VA",616142,35112,75251,61338,1362057,645,518,65781,1802371,67672,23007,1803016,811696,337842,103117,78369,5107,68190,105920,24339,19232,442032,1995
94,"Suffolk (Independent City), VA",566321,34913,68104,56930,753732,13107,8126,63378,1136878,40550,20774,1149985,250789,212197,184056,55358,3495,48676,96569,22764,19269,421076,1995
95,"Surry, VA",118330,6638,13686,12486,77735,6110,4548,12881,118846,3067,18961,124956,-27714,26682,20539,6590,459,7615,19929,2752,2293,90786,1995
96,"Sussex, VA",94174,5688,10443,8542,122361,11533,9091,9959,186292,5947,19479,197825,38146,34222,41242,10156,690,15038,14714,3944,3254,64422,1995
97,"Tazewell, VA",454871,30212,55741,47116,445619,2693,1797,53770,774794,38681,16813,777487,44518,129614,202254,46244,3441,40478,79299,20183,16742,335094,1995
98,Virginia,120285825,6853455,13908905,12820702,113397526,555433,387471,13263806,166447890,8309268,25035,167003323,6375507,36631248,16974549,6670693,554342,8696739,20319256,3902673,3348331,91269830,1995
99,"Virginia Beach (Independent City), VA",5015999,285032,584530,523992,7322795,6072,4909,547028,10627833,470392,25205,10633905,2853824,2556021,755089,421893,30327,475301,846526,198393,168066,3694172,1995
100,"Warren, VA",222032,14426,24644,20528,399087,965,635,24690,591285,34500,20125,592250,201745,114388,78775,29428,2532,35135,34908,10464,7932,151989,1995
101,"Washington + Bristol, VA*",933774,57044,117361,92762,770503,10421,7259,103425,1245676,64412,18717,1256097,-59846,257746,227848,67111,6939,71671,163742,40932,33993,698361,1995
102,"Westmoreland, VA",86603,6214,10002,7568,169725,5997,2579,9998,296706,13756,18178,302703,93120,72423,60555,16652,1513,16335,13786,5016,3503,56482,1995
103,"Wise + Norton, VA*",587725,36445,74714,70730,425199,634,550,71810,759742,34872,17305,760376,-90716,112060,223117,43940,2530,35422,110079,20892,18362,442224,1995
104,"Wythe, VA",302699,19217,38770,30452,301102,3477,1905,34443,472946,23049,17806,476423,32846,79152,96169,26757,2927,24954,53996,14543,11616,223749,1995
105,"York + Poquoson, VA*",538204,31715,71471,53888,1107051,682,154,58659,1628812,54831,25500,1629494,627506,408234,114209,63901,4921,54985,98415,22518,17597,384804,1995
0,"Accomack, VA",380922,22364,46041,34720,342040,22054,14684,39724,592846,45149,17234,614900,842,145180,127680,35679,3043,59833,63401,16715,13672,257688,1996
1,"Albemarle + Charlottesville, VA*",2692176,155069,324237,266830,1963996,5125,2671,288484,3357387,258183,28420,3362512,-439696,1087116,311400,118316,12561,260854,457652,89308,76747,1973670,1996
2,"Alexandria (Independent City), VA",4314160,241351,423190,480350,3365330,0,0,481526,4851367,290847,41027,4851367,-467304,1169431,316606,118248,14606,290847,663365,107238,92632,3359948,1996
3,"Alleghany + Covington, VA*",393584,25349,41868,47838,305728,1022,773,49268,487081,19960,20297,488103,-38588,79018,103357,24048,1618,20733,65787,13093,11475,307064,1996
4,"Amelia, VA",78500,4430,6979,5952,144961,12973,10126,7406,194792,13765,20288,207765,73867,32477,30327,10241,1173,23891,9955,3433,2260,44654,1996
5,"Amherst, VA",287091,17946,36632,28040,375348,716,200,31966,545672,23640,17755,546388,120223,85749,85291,30774,2497,23840,50652,12490,9993,212599,1996
6,"Appomattox, VA",118952,7554,13748,11330,170107,349,-75,13219,249503,16439,19090,249852,64374,39959,39786,13088,1503,16364,19413,5709,4206,83175,1996
7,"Arlington, VA",10251434,521478,1181129,1148198,5125358,0,0,1095577,7415823,447326,40568,7415823,-4030499,1924020,366445,182801,17837,447326,1755228,201790,183953,8048880,1996
8,"Augusta, Staunton + Waynesboro, VA*",1522996,90755,175611,148818,1419366,31698,25839,165164,2174016,130288,21008,2205714,61534,460166,326182,104994,9945,156127,250020,56133,46188,1116849,1996
9,"Bath, VA",70573,4433,6869,7514,61161,853,665,8190,108482,4863,21880,109335,-1222,28904,19270,4997,561,5528,10626,2846,2285,54419,1996
10,"Bedford, VA*",467695,31298,49555,45798,945246,864,-333,54197,1417520,55094,22760,1418384,531748,299348,173790,62320,5841,54761,72454,21464,15623,340480,1996
11,"Bland, VA",61556,3935,8047,5696,68924,554,227,6783,108462,7738,15852,109016,14151,16792,23300,6877,1005,7965,10895,2951,1946,42696,1996
12,"Botetourt, VA",222970,14349,24983,21196,460573,544,-457,24947,660124,30364,23304,660668,262550,123404,76691,28350,2837,29907,35581,9651,6814,157482,1996
13,"Brunswick, VA",128738,8245,17424,12184,148904,3576,1568,14337,256431,12490,15536,260007,34503,46765,64338,16736,1102,14058,23516,6020,4918,91164,1996
14,"Buchanan, VA",362732,22423,49262,44806,256832,33,17,44826,496184,30254,17015,496217,-61074,88530,150855,29163,1665,30271,71665,11565,9900,260796,1996
15,"Buckingham, VA",107920,6540,12850,9700,136649,7084,6115,11390,213295,15109,14786,220379,40119,37437,46293,14905,1209,21224,17700,4546,3337,68996,1996
16,"Campbell + Lynchburg, VA*",2367801,141243,261493,249296,1513825,1648,328,265891,2422115,121761,20950,2423763,-588085,468145,441793,115690,9512,122089,386141,84112,74600,1859571,1996
17,"Caroline, VA",143691,8855,16957,12198,285869,5485,4711,14954,422082,24810,20012,427567,157132,79372,62326,21366,1578,29521,23056,6031,4453,91114,1996
18,"Carroll + Galax, VA*",410357,26004,49717,41954,375885,2858,1912,46981,622496,34678,17654,625354,12509,103489,145980,35423,3630,36590,70694,20030,16400,303073,1996
19,"Charles City, VA",45814,2805,5545,3996,86793,3070,2352,4803,127568,7062,19645,130638,45782,24707,19138,6650,511,9414,7543,1868,1357,28857,1996
20,"Charlotte, VA",93675,6457,10498,7968,113589,3148,1309,10441,196001,17980,16297,199149,30355,36872,48688,12220,1576,19289,14482,4960,3384,59904,1996
21,"Chesapeake (Independent City), VA",2202929,128282,261800,234812,3221832,11835,6486,245688,4376098,135049,23407,4387933,1264591,755211,410890,187459,12065,141535,379206,85785,73720,1682188,1996
22,"Chesterfield, VA",3548725,201541,407872,366222,4968168,2722,1528,384652,6559991,213217,26815,6562713,1804095,1155655,438890,244741,14783,214745,590983,116988,102205,2742997,1996
23,"Clarke, VA",128652,7999,12204,11936,173813,2078,203,13967,278159,17209,22780,280237,59128,77179,29245,12302,1624,17412,18172,5677,4053,93068,1996
24,"Craig, VA",19212,1406,2294,1814,61371,259,31,2313,89657,3562,18313,89916,44472,15285,13260,4910,529,3593,3201,1191,662,12418,1996
25,"Culpeper, VA",397438,24125,43510,38630,462437,3580,739,43440,699503,44949,22028,703083,108439,151770,88876,31917,3389,45688,62825,15328,11939,288925,1996
26,"Cumberland, VA",40132,2419,3928,2894,94864,5610,4517,3866,140444,8636,17064,146054,58598,25559,25631,8559,811,13153,5375,2089,1278,21604,1996
27,"Dickenson, VA",105324,7466,13913,10678,120051,282,235,12805,246568,14641,14398,246850,27532,38558,88241,17145,879,14876,19252,4401,3522,71196,1996
