,GeoFIPS,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
22," ""51057""","Essex, VA",174973,12325,22329,18704,207135,-2521,-3336,21677,372772,19042,33221,370251,53839,68111,95005,11145,1300,15706,31681,5409,4109,127586,2010
23," ""51061""","Fauquier, VA",1435352,88658,138412,134144,2496865,-9243,-21326,155730,3702190,317612,56439,3692947,1217243,853838,342244,65433,10154,296286,205484,32311,22157,933582,2010
24," ""51063""","Floyd, VA",142692,11336,17510,12858,268512,2242,-2252,17765,456768,35362,29870,459010,143585,72355,118143,15367,2432,33110,23939,5627,3195,85643,2010
25," ""51065""","Fluvanna, VA",245105,18287,32246,22576,566160,-303,-902,29575,899479,48000,34863,899176,350630,175970,157046,25792,2915,47098,43534,7423,4508,154473,2010
26," ""51067""","Franklin, VA",665529,49272,74596,65634,1021107,10615,5914,82089,1753262,124700,31400,1763877,437667,306564,436206,56174,6748,130614,107413,20746,13998,427502,2010
27," ""51071""","Giles, VA",272833,19527,39235,29142,308913,-1910,-2326,34098,546747,25303,31463,544837,70178,80489,155435,17317,1794,22977,53806,7011,5217,196050,2010
28," ""51073""","Gloucester, VA",449109,31355,57835,43972,968229,1753,1180,53341,1491468,64441,40421,1493221,572461,281918,243074,36942,3861,65621,79821,13841,9980,303667,2010
29," ""51075""","Goochland, VA",980626,58697,94807,98852,936372,-734,-2745,108123,1502531,60310,68556,1501797,63869,413316,152109,21906,3505,57565,144233,15371,11866,778828,2010
30," ""51077""","Grayson, VA",111572,10989,16137,11166,201605,316,-1450,16572,415746,20540,26843,416062,106605,63935,150522,15500,2029,19090,21720,4723,2694,70762,2010
31," ""51079""","Greene, VA",185731,13130,20473,17916,424976,1106,313,22088,631122,34254,34211,632228,261333,101928,105324,18480,1971,34567,29431,5620,3649,121733,2010
